Index,angle,c_angle,error,by,bz
35,0,-7.350911948791071e-07,-7.350911948791071e-07,7546.362782443622,43413.90385602848
36,1,0.999999307274471,-6.927255290500867e-07,7497.319182573562,43634.62131064018
37,2,2.000001137859601,1.1378596012079356e-06,7430.469287404565,43905.45317188234
38,3,2.999998899568589,-1.1004314108831181e-06,7322.397198447779,44137.460470033744
39,4,4.000000264859315,2.648593149245926e-07,7186.159404143456,44386.586027929865
40,5,4.999997745546324,-2.2544536761870404e-06,7157.339648636734,44622.65080779689
41,6,6.0000011849000545,1.184900054518323e-06,7177.632727234126,44876.01163811301
42,7,6.99999871211848,-1.2878815196515347e-06,6970.328582557689,45065.47718047566
43,8,8.000000556147109,5.561471088100234e-07,6935.495674832379,45408.67794897375
44,9,8.99999957040629,-4.295937099385583e-07,6961.57474539198,45730.79877208772
45,10,9.99999874180329,-1.2581967094860147e-06,6842.63462240028,45995.49195307111
46,11,11.0000011034829,1.1034828997225077e-06,6695.5901559874765,46324.05247095622
47,12,12.000000516268146,5.162681464554453e-07,6713.161247368849,46717.23547119751
48,13,12.999999596656858,-4.033431419969702e-07,6620.820689826105,47136.05644718283
49,14,13.999999020864175,-9.791358248634197e-07,6633.48513163905,47720.85149478076
50,15,14.99999641378005,-3.5862199503355896e-06,6635.557713237541,48030.07361486743
51,16,15.999999628639351,-3.713606488986443e-07,6440.977438767461,48704.35935387646
52,17,17.000000639796625,6.397966245685893e-07,6401.825138397156,49248.66526265855
53,18,17.999999549048933,-4.5095106671055873e-07,6412.988488402605,50057.33211506052
54,19,19.000000575748523,5.75748522635422e-07,6373.147216729453,50852.79088543004
55,20,19.999998801977497,-1.198022502535423e-06,6216.52958774698,51620.20228009956
56,21,21.000001392671134,1.3926711339706799e-06,6076.361143834456,52460.50908086375
57,22,21.999999242124947,-7.578750533809853e-07,6021.616578154165,53252.81737868562
58,23,22.99999927185337,-7.281466309905227e-07,5889.278849707148,54155.05382653405
59,24,24.000001199281723,1.1992817228190233e-06,5800.677940956616,55493.96151607392
60,25,24.999997312484606,-2.6875153942285124e-06,5775.163521210293,56903.8741595384
61,26,26.00000239350004,2.3935000399433193e-06,5639.398516627271,58295.26592193073
62,27,26.99999912821941,-8.717805890512409e-07,5583.032684006121,59815.84459061109
63,28,27.999999622656198,-3.7734380242682164e-07,5826.606983665002,61942.063664212685
64,29,29.000000379022534,3.7902253424704213e-07,6261.167347814629,62396.80173756073
65,30,30.000000068543912,6.854391187971487e-08,6702.374817418794,62788.00260307165
66,31,31.000001395265812,1.395265812220714e-06,7663.371138780805,63719.48841700144
67,32,31.99999952332898,-4.7667101910064957e-07,7998.341294845656,63899.79054042409
68,33,33.000003464535155,3.464535154762416e-06,8462.315986198364,64325.16712291438
69,34,34.00000010428362,1.0428362173797723e-07,8596.000668981134,64306.2064683732
70,35,32.80197549673059,-2.1980245032694086,8370.43783863156,63742.93555923563
