Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Trial
106,0.0,3411.932684167136,7351.000561004679,72373.71502956614,-0.9063866190695266,-2.0809578488066625,1.3473720816058596,1.0
107,1.0,3753.4034689437326,7359.551042730319,72644.32878689567,1.433013764712228,0.4774393040389128,-2.3713610514376846,1.0
108,2.0,4151.107391969061,7394.141845563899,72888.8837971717,0.19210852076808232,-0.7008499353463579,2.7117196491983973,1.0
109,3.0,4557.530767117304,7446.55528479267,73089.69696959964,1.4128174394538378,0.5976791904407998,-2.2606583995986598,1.0
110,4.0,4968.042422914928,7492.680231450757,73322.90978402027,0.14922601230940455,-0.6025333051157518,2.8213273783675237,1.0
111,5.0,5398.551720291296,7511.228572936371,73650.06618401743,-1.1236524019532623,-1.7939739060110886,1.6164377820805247,1.0
112,6.0,5841.9870554750805,7497.143933988465,74041.96183445888,1.4269164511149661,0.7572684168108346,-2.1018468185818255,1.0
113,7.0,6288.4572258931785,7467.452517557747,74352.66720499056,0.19879407154067377,-0.43296603055433913,2.979093539619051,1.0
114,8.0,6735.89037229249,7434.6862575626865,74291.38814302317,0.1960973779464957,-0.3912119614687215,3.033623712220045,1.0
115,9.0,7182.450132250489,7395.138442448429,73757.80799641568,1.4859068256866976,0.9085329294119963,-1.9376235022882027,1.0
116,10.0,7641.727795169786,7363.140671567682,73207.76799328899,-0.3720224124753271,-0.9218300193388238,2.510808438613367,1.0
117,11.0,8124.104690274166,7360.644595184994,73117.97395475884,-0.9792120829934722,-1.4875644290583245,1.9406283719879638,1.0
118,12.0,8632.608239141568,7382.802075962615,73445.22276074419,-0.32554544866812457,-0.8052358653699041,2.6206931719277984,1.0
119,13.0,9198.512334037096,7419.87592444177,74056.53224082894,2.868062238174881,2.3879808866958525,-0.46756813643887757,1.0
120,14.0,9872.399378035705,7480.8416344016905,75114.4443331346,-1.5005107988198825,-1.9620784144435655,1.4750937194949254,1.0
121,15.0,10639.901650834865,7557.953188932015,76567.72413181684,-0.8164113830728658,-1.2843097331369164,2.1552942765837755,1.0
122,16.0,11371.962207311788,7608.442561753241,77650.82749199857,-2.0393733950566437,-2.4813057273266543,0.9525771817417806,1.0
123,17.0,11976.371926941305,7627.887781673295,77801.40487492383,-0.7354502988055219,-1.1756236576247194,2.26256104929128,1.0
124,18.0,12529.659362022177,7663.341237292843,77597.23791999563,-2.575693956932801,-3.018256021555911,0.43129678143896333,1.0
125,19.0,13127.982079761729,7716.226789352831,77809.65738605676,1.853971578453965,1.4533525828447313,-1.4004528662066285,1.0
126,20.0,13758.980146140053,7750.333648459419,78464.58400216424,-2.505015957108193,-2.9069430742196265,0.5412434691537001,1.0
127,21.0,14415.053023550721,7775.5868719898135,79385.97341877154,-3.086232551090491,2.813749713223924,-0.0331419975436336,1.0
128,22.0,15193.00583676121,7838.440341632296,80778.9008972708,-2.4117985212251942,-2.792253993546215,0.6517556306358154,1.0
129,23.0,16162.497696529783,7960.878035303228,82800.09752835071,2.0466159659066827,1.649237937776133,-1.1796342308782648,1.0
130,24.0,17221.876556468156,8113.917474327726,84972.34383488096,-0.421243953505187,-0.8138655124822332,2.6434018962763397,1.0
131,25.0,18223.9045668837,8257.046707887344,86706.94175045472,0.883569250998884,0.5008627631036234,-2.3277102979637627,1.0
132,26.0,19127.348825236542,8380.965321053991,88031.5458045322,-0.3294748203477057,-0.7036998078805089,2.750974979118975,1.0
133,27.0,19953.56658316306,8491.40636852577,89306.67106984725,0.9799876586393346,0.6177392616803051,-2.2190883046429235,1.0
