angle,c_angle,error,Trial
11,10,-1,1
12,14,2,1
13,14,1,1
14,14,0,1
15,14,-1,1
16,14,-2,1
17,14,-3,1
18,16,-2,1
19,17,-2,1
20,18,-2,1
21,18,-3,1
22,19,-3,1
23,20,-3,1
24,21,-3,1
25,23,-2,1
26,23,-3,1
27,24,-3,1
28,25,-3,1
29,25,-4,1
30,27,-3,1
31,28,-3,1
32,28,-4,1
33,29,-4,1
34,30,-4,1
35,31,-4,1
-35,-35,0,2
-34,-35,-1,2
-33,-35,-2,2
-32,-35,-3,2
-31,-35,-4,2
-30,-35,-5,2
-29,-35,-6,2
-28,-35,-7,2
-27,-34,-7,2
-26,-32,-6,2
-25,-31,-6,2
-24,-30,-6,2
-23,-28,-5,2
-22,-25,-3,2
-21,-26,-5,2
-20,-22,-2,2
-19,-20,-1,2
-18,-19,-1,2
-17,-17,0,2
-16,-17,-1,2
-15,-15,0,2
-14,-12,2,2
-13,-13,0,2
-12,-10,2,2
-11,-9,2,2
-10,-8,2,2
-9,-7,2,2
-8,-6,2,2
-7,-5,2,2
-6,-4,2,2
-5,-2,3,2
-4,-2,2,2
-3,0,3,2
-2,1,3,2
-1,2,3,2
0,2,2,2
1,3,2,2
2,5,3,2
3,6,3,2
4,7,3,2
5,7,2,2
6,8,2,2
7,8,1,2
8,10,2,2
9,10,1,2
10,10,0,2
11,13,2,2
12,14,2,2
13,14,1,2
14,14,0,2
15,14,-1,2
16,14,-2,2
17,16,-1,2
18,16,-2,2
19,17,-2,2
20,18,-2,2
21,18,-3,2
22,19,-3,2
23,20,-3,2
24,21,-3,2
25,23,-2,2
26,23,-3,2
27,24,-3,2
28,25,-3,2
29,26,-3,2
30,27,-3,2
31,27,-4,2
32,28,-4,2
33,29,-4,2
34,30,-4,2
35,31,-4,2
-35,-35,0,3
-34,-35,-1,3
-33,-35,-2,3
-32,-35,-3,3
-31,-35,-4,3
-30,-35,-5,3
-29,-35,-6,3
-28,-35,-7,3
-27,-33,-6,3
-26,-31,-5,3
-25,-31,-6,3
-24,-28,-4,3
-23,-26,-3,3
-22,-25,-3,3
-21,-24,-3,3
-20,-22,-2,3
-19,-20,-1,3
-18,-18,0,3
-17,-17,0,3
-16,-14,2,3
-15,-14,1,3
-14,-12,2,3
-13,-12,1,3
-12,-10,2,3
-11,-9,2,3
-10,-8,2,3
-9,-6,3,3
-8,-6,2,3
-7,-5,2,3
-6,-3,3,3
-5,-3,2,3
-4,0,4,3
-3,0,3,3
-2,1,3,3
-1,2,3,3
0,2,2,3
1,3,2,3
2,5,3,3
3,6,3,3
4,7,3,3
5,7,2,3
6,8,2,3
7,8,1,3
8,10,2,3
9,10,1,3
10,10,0,3
11,10,-1,3
12,13,1,3
13,14,1,3
14,14,0,3
15,14,-1,3
16,14,-2,3
17,14,-3,3
18,15,-3,3
19,16,-3,3
20,17,-3,3
21,18,-3,3
22,19,-3,3
23,20,-3,3
24,21,-3,3
25,23,-2,3
26,23,-3,3
27,24,-3,3
28,25,-3,3
29,25,-4,3
30,26,-4,3
31,27,-4,3
32,28,-4,3
33,29,-4,3
34,30,-4,3
35,31,-4,3
-35,-35,0,4
-34,-35,-1,4
-33,-35,-2,4
-32,-35,-3,4
-31,-35,-4,4
-30,-35,-5,4
-29,-35,-6,4
-28,-34,-6,4
-27,-32,-5,4
-26,-31,-5,4
-25,-29,-4,4
-24,-29,-5,4
-23,-27,-4,4
-22,-25,-3,4
-21,-23,-2,4
-20,-23,-3,4
-19,-21,-2,4
-18,-18,0,4
-17,-17,0,4
-16,-15,1,4
-15,-15,0,4
-14,-12,2,4
-13,-11,2,4
-12,-10,2,4
-11,-9,2,4
-10,-7,3,4
-9,-6,3,4
-8,-6,2,4
-7,-4,3,4
-6,-3,3,4
-5,-2,3,4
-4,-2,2,4
-3,0,3,4
-2,1,3,4
-1,2,3,4
0,2,2,4
1,3,2,4
2,5,3,4
3,5,2,4
4,6,2,4
5,7,2,4
6,8,2,4
7,8,1,4
8,10,2,4
9,10,1,4
10,10,0,4
11,13,2,4
12,13,1,4
13,14,1,4
14,14,0,4
15,14,-1,4
16,14,-2,4
17,14,-3,4
18,15,-3,4
19,16,-3,4
20,17,-3,4
21,18,-3,4
22,19,-3,4
23,20,-3,4
24,20,-4,4
25,23,-2,4
26,23,-3,4
27,23,-4,4
28,25,-3,4
29,26,-3,4
30,26,-4,4
31,27,-4,4
32,28,-4,4
33,29,-4,4
34,30,-4,4
35,31,-4,4
-35,-35,0,5
-34,-35,-1,5
-33,-35,-2,5
-32,-35,-3,5
-31,-35,-4,5
-30,-35,-5,5
-29,-35,-6,5
-28,-34,-6,5
-27,-31,-4,5
-26,-30,-4,5
-25,-29,-4,5
-24,-26,-2,5
-23,-26,-3,5
-22,-23,-1,5
-21,-25,-4,5
-20,-21,-1,5
-19,-21,-2,5
-18,-17,1,5
-17,-17,0,5
-16,-15,1,5
-15,-13,2,5
-14,-12,2,5
-13,-11,2,5
-12,-10,2,5
-11,-9,2,5
-10,-7,3,5
-9,-6,3,5
-8,-5,3,5
-7,-5,2,5
-6,-3,3,5
-5,-2,3,5
-4,0,4,5
-3,0,3,5
-2,1,3,5
-1,2,3,5
0,2,2,5
1,3,2,5
2,3,1,5
3,6,3,5
4,6,2,5
5,7,2,5
6,8,2,5
7,8,1,5
8,10,2,5
9,10,1,5
10,10,0,5
11,10,-1,5
12,13,1,5
13,14,1,5
14,14,0,5
15,14,-1,5
16,14,-2,5
17,14,-3,5
18,14,-4,5
19,15,-4,5
20,16,-4,5
21,18,-3,5
22,18,-4,5
23,19,-4,5
24,20,-4,5
25,21,-4,5
26,23,-3,5
27,23,-4,5
28,24,-4,5
29,25,-4,5
30,26,-4,5
31,26,-5,5
32,28,-4,5
33,29,-4,5
34,29,-5,5
35,30,-5,5
