Index,Bzs_mean,Bys_mean,Bxs_mean,motor_positions
157,-356.68160000000006,141.9528,835.1332000000001,-158001
158,-340.77119999999996,135.4892,820.1908000000001,-159000
159,-326.48879999999997,127.88600000000001,803.6908,-160000
160,-311.529718875502,120.9690763052209,787.9975903614459,-161000
161,-298.3112,114.87080000000002,772.8952,-161999
162,-284.99277108433733,110.62289156626505,757.210843373494,-162997
163,-272.1796,105.5824,742.2008000000001,-164002
164,-260.27590361445783,98.19156626506026,728.6152610441767,-164999
165,-247.478,91.4408,713.5612,-166001
166,-236.38955823293173,84.16987951807229,699.6574297188755,-167001
167,-224.63759999999996,79.20439999999999,685.1372,-168001
168,-214.6716,74.2764,672.2848,-169001
169,-205.3172,69.7048,658.46,-169999
170,-195.34240000000003,65.8328,645.0092000000001,-170999
171,-185.32360000000003,61.49439999999999,633.0676000000001,-171998
172,-177.53560000000002,57.29240000000001,620.4968,-172999
173,-168.7224,53.1476,608.1196,-174000
174,-160.0192,50.476800000000004,596.6356000000001,-175002
175,-152.82520000000002,47.6872,585.0591999999999,-176002
176,-145.7324,43.458800000000004,573.1572,-177000
177,-138.04560000000004,41.5404,562.0648,-178000
178,-131.20360000000002,37.18,550.6952,-179000
179,-125.18,34.575199999999995,539.6028,-179999
180,-118.57560000000001,32.3268,529.2231999999999,-180999
181,-112.0152,28.7804,518.8436,-181998
182,-106.1544,26.3692,509.36160000000007,-183000
183,-101.5784,23.408000000000005,500.1700000000001,-184000
184,-94.37028112449798,19.499598393574296,488.5060240963856,-184997
185,-89.50479999999999,17.4548,479.56480000000005,-186000
186,-84.57239999999999,14.282399999999999,469.5724,-187000
187,-80.16359999999999,12.408,460.66679999999997,-188009
188,-75.1828,9.5172,451.946,-189000
189,-70.4616,7.194000000000001,443.3792,-190000
190,-67.67429718875502,4.63855421686747,435.36586345381534,-191002
191,-61.6924,1.9492000000000003,425.47560000000004,-192002
192,-58.542,-0.36960000000000004,417.34880000000004,-192999
193,-55.36666666666667,-2.5534136546184736,410.0835341365462,-194000
194,-51.0488,-4.373600000000001,402.04560000000004,-194998
195,-47.8588,-6.4504,393.5624,-196002
196,-44.022,-9.187199999999999,386.82160000000005,-197001
197,-40.6736,-11.070400000000001,378.63320000000004,-197999
198,-37.2944,-14.251600000000002,371.5976,-198998
199,-35.019600000000004,-16.9444,363.7656000000001,-199998
200,-31.626104417670685,-19.035742971887547,356.7975903614458,-200998
201,-28.476800000000004,-20.7108,349.844,-202000
202,-25.573895582329317,-23.263453815261045,343.2971887550201,-203007
